Category: All categories,,,,

Month,Facebook: (United States),instagram: (United States),twitter: (United States),"United States Presidential election, 2020: (United States)"
2008-01,3,0,0,4
2008-02,2,0,0,3
2008-03,2,0,0,2
2008-04,3,0,0,0
2008-05,8,0,0,1
2008-06,9,0,0,0
2008-07,6,0,0,0
2008-08,4,0,0,1
2008-09,3,0,0,4
2008-10,5,0,1,10
2008-11,15,0,1,32
2008-12,20,0,1,0
2009-01,14,0,2,0
2009-02,24,0,4,0
2009-03,15,0,6,0
2009-04,11,0,9,0
2009-05,13,0,8,0
2009-06,11,0,11,0
2009-07,11,0,13,0
2009-08,13,0,18,0
2009-09,42,0,10,0
2009-10,37,0,11,0
2009-11,37,0,10,0
2009-12,34,0,14,0
2010-01,25,0,14,0
2010-02,32,0,16,0
2010-03,12,0,16,0
2010-04,18,0,17,0
2010-05,18,0,17,0
2010-06,17,0,18,0
2010-07,20,0,14,0
2010-08,14,0,12,0
2010-09,20,0,17,0
2010-10,19,0,11,1
2010-11,22,0,13,0
2010-12,26,0,12,0
2011-01,22,0,14,0
2011-02,21,0,16,0
2011-03,18,0,17,0
2011-04,20,0,14,0
2011-05,18,0,14,0
2011-06,18,0,17,0
2011-07,22,0,16,0
2011-08,28,0,13,0
2011-09,29,0,11,0
2011-10,21,0,10,0
2011-11,20,0,11,0
2011-12,25,0,12,0
2012-01,23,0,12,1
2012-02,27,1,11,0
2012-03,21,1,12,0
2012-04,27,5,10,1
2012-05,51,1,10,1
2012-06,33,2,11,0
2012-07,31,1,12,1
2012-08,33,2,12,1
2012-09,26,1,12,1
2012-10,27,1,11,3
2012-11,24,5,8,9
2012-12,33,15,12,0
2013-01,34,3,11,0
2013-02,27,4,10,0
2013-03,30,4,10,0
2013-04,33,3,17,0
2013-05,33,6,12,0
2013-06,31,9,9,0
2013-07,37,4,12,0
2013-08,37,4,11,0
2013-09,32,5,11,0
2013-10,41,4,11,0
2013-11,38,4,16,0
2013-12,46,6,11,0
2014-01,41,4,10,0
2014-02,52,3,11,0
2014-03,49,5,16,0
2014-04,45,5,11,0
2014-05,47,6,11,0
2014-06,49,5,10,0
2014-07,48,5,11,0
2014-08,44,6,12,0
2014-09,39,4,11,0
2014-10,45,5,9,0
2014-11,46,5,9,0
2014-12,43,7,11,0
2015-01,49,6,11,0
2015-02,39,5,12,0
2015-03,43,5,11,0
2015-04,36,7,11,0
2015-05,39,5,10,0
2015-06,39,4,12,0
2015-07,31,7,14,0
2015-08,29,7,12,1
2015-09,27,6,11,1
2015-10,28,5,14,1
2015-11,32,6,11,0
2015-12,27,6,12,1
2016-01,23,5,14,1
2016-02,22,4,10,1
2016-03,16,4,8,1
2016-04,27,5,11,1
2016-05,25,6,9,1
2016-06,17,5,10,1
2016-07,14,4,11,1
2016-08,14,6,10,1
2016-09,14,4,11,1
2016-10,15,4,14,2
2016-11,22,4,12,12
2016-12,17,5,10,2
2017-01,16,5,13,1
2017-02,16,6,14,1
2017-03,16,8,17,0
2017-04,19,6,16,0
2017-05,18,7,17,1
2017-06,19,7,17,0
2017-07,17,8,18,0
2017-08,13,8,20,0
2017-09,12,6,18,1
2017-10,10,7,19,0
2017-11,10,8,21,1
2017-12,10,8,20,0
2018-01,10,10,19,0
2018-02,9,8,18,0
2018-03,14,9,21,1
2018-04,13,8,20,0
2018-05,8,9,18,0
2018-06,8,10,19,1
2018-07,12,12,20,0
2018-08,9,10,22,1
2018-09,9,9,24,0
2018-10,9,10,17,1
2018-11,8,10,21,1
2018-12,9,12,20,1
2019-01,9,12,20,1
2019-02,8,10,21,2
2019-03,8,16,20,1
2019-04,8,13,20,1
2019-05,8,12,19,1
2019-06,7,12,24,1
2019-07,10,16,22,1
2019-08,8,16,22,2
2019-09,7,10,22,1
2019-10,8,11,25,1
2019-11,8,9,23,1
2019-12,5,12,20,1
2020-01,6,10,25,2
2020-02,7,7,24,4
2020-03,6,6,18,2
2020-04,6,8,21,1
2020-05,8,8,23,1
2020-06,10,9,33,2
2020-07,8,10,24,3
2020-08,8,9,27,4
2020-09,7,9,23,4
2020-10,7,8,31,8
2020-11,7,9,38,100
2020-12,5,11,25,6
2021-01,7,7,40,3
2021-02,6,7,27,0
2021-03,4,7,16,0
2021-04,7,9,24,0
2021-05,4,9,20,1
2021-06,5,7,21,0
